幅值,均值
2.044537,72.044056
0.019586,67.977923
2.502628,69.084273
1.555374,69.569225
44.5697,92.010654
0.993996,85.14099
22.740817,91.73541
46.483024,91.715207
16.681401,92.427651
41.076829,93.63698
26.182344,90.349463
48.96624,93.300681
47.991443,94.215332
46.313691,107.167161
26.211011,87.726539
36.524639,88.488119
40.364981,103.315233
56.771485,98.544526
36.09125,93.654052
8.248471,84.535246
35.304278,87.990257
65.447579,102.17479
76.500991,106.60564
0.907339,67.363268
6.305745,136.199036
53.872087,107.770005
3.349596,74.673088
65.427853,101.027966
1.749654,67.943831
73.785103,103.780621
44.016364,113.345628
71.133096,104.539891
75.313326,106.446851
12.382612,98.317903
3.374309,71.967922
78.525145,105.79888
5.492124,68.610898
81.26685,106.319371
0.978537,66.574204
2.245024,67.269793
3.516006,137.453873
1.255468,75.147994
2.620047,72.985716
5.37117,71.847451
9.477571,73.278575
1.320497,80.325292
29.238514,86.761207
70.211225,102.102671
4.599298,69.749393
3.998266,79.212729
1.575087,69.849063
7.804264,72.171359
0.306644,68.282616
1.04449,68.439194
1.659024,68.330569
2.358765,68.528217
66.436774,99.886437
3.18101,68.881702
0.291732,67.16591
64.851195,98.814152
7.799681,70.123507
9.925431,70.778889
0.079784,65.814829
2.105562,73.41367
0.452422,72.167913
4.504642,71.548646
9.233818,73.623228
14.388603,76.837006
58.923621,97.204797
12.215009,81.966351
1.981566,69.848048
37.190455,87.514336
20.435361,80.503552
32.881674,97.178705
47.310471,92.856058
23.256762,89.222486
44.438831,93.932242
3.428393,84.532816
37.044422,88.502899
57.500487,97.123014
32.885856,97.500591
19.732234,83.302849
31.375433,85.135444
46.305451,92.237689
11.863074,87.174272
51.866403,94.196645
29.652008,96.852726
26.258694,85.155179
35.566063,87.434047
49.591638,94.332838
69.611128,102.638398
1.623912,137.599975
73.519218,102.492884
1.538125,70.639417
0.411442,69.642591
2.313666,70.48862
0.807102,70.132976
3.201541,70.721158
26.412874,88.850433
18.880362,96.218448
42.555119,92.599742
45.430382,92.587856
0.319386,79.795153
51.024465,95.284442
29.686421,97.443108
59.626594,98.855906
44.637387,92.07206
34.236584,96.917776
29.849164,84.819171
49.488806,93.035041
25.044078,93.044453
17.276276,84.237602
29.687737,87.891413
54.635868,96.542694
70.387708,103.460711
75.341854,104.530654
0.56251,69.00113
0.102212,133.125929
